archetype,tariff,scenario,year,annual_bill_eur,baseline_bill_eur,c_star,c_star_avg,worst_month_eur_2023,worst_month_eur_2024,worst_month_eur_2025,loss_month_prob_2023,loss_month_prob_2024,loss_month_prob_2025,worst_month_eur_pooled,loss_month_prob_pooled
A,T3_OCT,automated,2024,1389.3065475680144,1407.0,17.693452431985634,58.615839667564536,-8.100792634063708,12.38270325179488,21.91757225738246,0.0,0.25,0.75,21.91757225738246,0.3333333333333333
A,T3_OCT,automated,2025,1450.2172657315784,1375.4999999999998,-74.71726573157866,58.615839667564536,-8.100792634063708,12.38270325179488,21.91757225738246,0.0,0.25,0.75,21.91757225738246,0.3333333333333333
A,T3_OCT,passive,2023,1442.947356978535,1644.9999999999998,202.05264302146475,24.63990636961944,-6.168483675159621,14.589625494945551,23.704086247108506,0.0,0.4166666666666667,1.0,23.704086247108506,0.4722222222222222
A,T3_OCT,passive,2024,1422.2062619823978,1407.0,-15.206261982397791,24.63990636961944,-6.168483675159621,14.589625494945551,23.704086247108506,0.0,0.4166666666666667,1.0,23.704086247108506,0.4722222222222222
A,T3_OCT,passive,2025,1488.4266619302084,1375.4999999999998,-112.92666193020864,24.63990636961944,-6.168483675159621,14.589625494945551,23.704086247108506,0.0,0.4166666666666667,1.0,23.704086247108506,0.4722222222222222
A,T3_TIB,automated,2023,1451.9961676977132,1644.9999999999998,193.00383230228658,18.74833966756455,-4.346601422298363,16.16847993892796,25.67695592951415,0.0,0.5,0.8333333333333334,25.67695592951415,0.4444444444444444
A,T3_TIB,automated,2024,1429.1740475680144,1407.0,-22.17404756801443,18.74833966756455,-4.346601422298363,16.16847993892796,25.67695592951415,0.0,0.5,0.8333333333333334,25.67695592951415,0.4444444444444444
A,T3_TIB,automated,2025,1490.0847657315783,1375.4999999999998,-114.5847657315785,18.74833966756455,-4.346601422298363,16.16847993892796,25.67695592951415,0.0,0.5,0.8333333333333334,25.67695592951415,0.4444444444444444
A,T3_TIB,passive,2023,1482.814856978535,1644.9999999999998,162.18514302146468,-15.227593630380625,-2.414292463394247,18.37540218207866,27.463469919240197,0.0,0.75,1.0,27.463469919240197,0.5833333333333334
A,T3_TIB,passive,2024,1462.0737619823979,1407.0,-55.073761982397855,-15.227593630380625,-2.414292463394247,18.37540218207866,27.463469919240197,0.0,0.75,1.0,27.463469919240197,0.5833333333333334
A,T3_TIB,passive,2025,1528.2941619302085,1375.4999999999998,-152.7941619302087,-15.227593630380625,-2.414292463394247,18.37540218207866,27.463469919240197,0.0,0.75,1.0,27.463469919240197,0.5833333333333334
B,T1,automated,2023,3401.8199999999997,3401.8199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,T1,automated,2024,2891.82,2891.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,T1,automated,2025,2824.3199999999997,2824.3199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,T1,passive,2023,3401.8199999999997,3401.8199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,T1,passive,2024,2891.82,2891.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,T1,passive,2025,2824.3199999999997,2824.3199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,T2,automated,2023,2692.277656434409,3401.8199999999997,709.5423435655907,334.1801982513596,-28.646878455763556,2.4480587846369986,35.739792740290625,0.0,0.08333333333333333,0.25,35.739792740290625,0.1111111111111111
B,T2,automated,2024,2633.6522109710368,2891.82,258.1677890289634,334.1801982513596,-28.646878455763556,2.4480587846369986,35.739792740290625,0.0,0.08333333333333333,0.25,35.739792740290625,0.1111111111111111
B,T2,automated,2025,2789.489537840475,2824.3199999999997,34.830462159524814,334.1801982513596,-28.646878455763556,2.4480587846369986,35.739792740290625,0.0,0.08333333333333333,0.25,35.739792740290625,0.1111111111111111
B,T2,passive,2023,2759.016717726061,3401.8199999999997,642.8032822739387,262.7810794278269,-24.539113269165497,12.608192713369817,44.12031256566087,0.0,0.16666666666666666,0.3333333333333333,44.12031256566087,0.16666666666666666
B,T2,passive,2024,2702.070718897363,2891.82,189.74928110263727,262.7810794278269,-24.539113269165497,12.608192713369817,44.12031256566087,0.0,0.16666666666666666,0.3333333333333333,44.12031256566087,0.16666666666666666
B,T2,passive,2025,2868.529325093095,2824.3199999999997,-44.20932509309523,262.7810794278269,-24.539113269165497,12.608192713369817,44.12031256566087,0.0,0.16666666666666666,0.3333333333333333,44.12031256566087,0.16666666666666666
B,T3_AWA,automated,2023,2906.5489064344088,3401.8199999999997,495.27109356559095,119.90894825136002,-17.961753545433098,26.97322794566759,61.99132423652412,0.0,0.16666666666666666,0.8333333333333334,61.99132423652412,0.3333333333333333
B,T3_AWA,automated,2024,2847.923460971036,2891.82,43.89653902896407,119.90894825136002,-17.961753545433098,26.97322794566759,61.99132423652412,0.0,0.16666666666666666,0.8333333333333334,61.99132423652412,0.3333333333333333
B,T3_AWA,automated,2025,3003.7607878404747,2824.3199999999997,-179.44078784047497,119.90894825136002,-17.961753545433098,26.97322794566759,61.99132423652412,0.0,0.16666666666666666,0.8333333333333334,61.99132423652412,0.3333333333333333
B,T3_AWA,passive,2023,2973.2879677260607,3401.8199999999997,428.53203227393897,48.50982942782715,-13.853988358835053,37.20768565648717,70.37184406189431,0.0,0.4166666666666667,1.0,70.37184406189431,0.4722222222222222
